galaxy,radius,mu,kill,error
NGC0289,0.65,14.084,1,0.001
NGC0289,0.72,14.104,1,0.001
NGC0289,0.79,14.128,1,0.002
NGC0289,0.87,14.158,1,0.002
NGC0289,0.96,14.192,1,0.002
NGC0289,1.05,14.232,1,0.003
NGC0289,1.16,14.283,1,0.003
NGC0289,1.27,14.345,1,0.003
NGC0289,1.40,14.407,1,0.004
NGC0289,1.54,14.472,1,0.003
NGC0289,1.69,14.538,1,0.003
NGC0289,1.86,14.612,1,0.002
NGC0289,2.05,14.677,1,0.002
NGC0289,2.25,14.745,1,0.003
NGC0289,2.48,14.820,1,0.004
NGC0289,2.73,14.900,1,0.004
NGC0289,3.00,14.981,1,0.004
NGC0289,3.30,15.055,1,0.003
NGC0289,3.63,15.121,1,0.003
NGC0289,3.99,15.196,1,0.003
NGC0289,4.39,15.279,1,0.003
NGC0289,4.83,15.358,1,0.003
NGC0289,5.31,15.435,1,0.002
NGC0289,5.85,15.521,1,0.002
NGC0289,6.43,15.614,1,0.002
NGC0289,7.07,15.707,1,0.003
NGC0289,7.78,15.809,1,0.003
NGC0289,8.56,15.914,1,0.002
NGC0289,9.42,16.026,1,0.002
NGC0289,10.36,16.127,1,0.002
NGC0289,11.39,16.228,1,0.003
NGC0289,12.53,16.277,1,0.006
NGC0289,13.78,16.387,1,0.004
NGC0289,15.16,16.453,1,0.005
NGC0289,16.68,16.491,1,0.004
NGC0289,18.35,16.503,1,0.006
NGC0289,20.18,16.571,1,0.008
NGC0289,22.20,16.708,1,0.014
NGC0289,24.42,17.108,1,0.015
NGC0289,26.86,17.570,1,0.011
NGC0289,29.55,17.701,1,0.009
NGC0289,32.50,17.784,1,0.010
NGC0289,35.75,17.851,1,0.010
NGC0289,39.33,17.955,1,0.012
NGC0289,43.26,18.135,1,0.014
NGC0289,47.59,18.360,1,0.015
NGC0289,52.35,18.749,1,0.019
NGC0289,57.58,19.203,1,0.026
NGC0289,63.34,19.722,1,0.038
NGC0289,69.68,20.072,1,0.050
NGC0289,76.64,20.323,1,0.063
NGC0289,84.31,20.645,1,0.083
NGC0289,92.74,20.976,1,0.111
NGC0289,102.01,21.273,1,0.142
NGC0289,112.21,21.685,1,0.201
NGC0289,123.43,22.101,1,0.282
NGC0289,135.78,22.502,1,0.388
NGC0289,149.36,22.839,1,0.501
NGC0289,164.29,22.993,1,0.560
NGC0289,180.72,22.885,1,0.519
NGC0289,198.79,23.191,1,0.644
NGC0289,218.67,23.708,1,0.905
NGC0289,240.54,24.367,1,1.325
NGC0289,264.59,24.551,1,1.458
NGC0289,291.05,24.875,1,1.706
NGC0289,320.16,30.965,0,7.544
NGC0289,352.17,23.532,0,0.812
NGC0289,387.39,25.121,0,1.907
D575-1,2.40,20.948,1,0.011
D575-1,2.88,20.949,1,0.011
D575-1,3.46,20.959,1,0.012
D575-1,4.15,20.982,1,0.012
D575-1,4.98,21.012,1,0.013
D575-1,5.97,21.077,1,0.014
D575-1,7.17,21.101,1,0.013
D575-1,8.60,21.121,1,0.013
D575-1,10.32,21.175,1,0.013
D575-1,12.38,21.233,1,0.017
D575-1,14.86,21.403,1,0.022
D575-1,17.83,21.592,1,0.022
D575-1,21.40,21.761,1,0.024
D575-1,25.68,21.976,1,0.032
D575-1,30.81,22.247,1,0.039
D575-1,36.98,22.422,1,0.046
D575-1,44.37,22.657,1,0.059
D575-1,53.25,22.841,1,0.064
D575-1,63.90,23.071,1,0.075
D575-1,76.68,23.574,1,0.114
D575-1,92.01,24.735,1,0.301
D575-1,110.41,25.729,0,0.637
D575-1,132.49,26.251,0,0.909
D575-1,158.99,26.655,0,1.148
NGC4010,0.62,16.271,1,0.001
NGC4010,0.69,16.279,1,0.001
NGC4010,0.76,16.290,1,0.001
NGC4010,0.83,16.300,1,0.001
NGC4010,0.91,16.308,1,0.001
NGC4010,1.01,16.315,1,0.001
NGC4010,1.11,16.322,1,0.001
NGC4010,1.22,16.329,1,0.002
NGC4010,1.34,16.337,1,0.002
NGC4010,1.47,16.345,1,0.002
NGC4010,1.62,16.354,1,0.002
NGC4010,1.78,16.362,1,0.002
NGC4010,1.96,16.370,1,0.002
NGC4010,2.15,16.384,1,0.002
NGC4010,2.37,16.397,1,0.003
NGC4010,2.61,16.411,1,0.003
NGC4010,2.87,16.426,1,0.004
NGC4010,3.15,16.443,1,0.005
NGC4010,3.47,16.460,1,0.005
NGC4010,3.82,16.476,1,0.006
NGC4010,4.20,16.496,1,0.007
NGC4010,4.62,16.514,1,0.007
NGC4010,5.08,16.531,1,0.007
NGC4010,5.59,16.547,1,0.007
NGC4010,6.15,16.562,1,0.006
NGC4010,6.76,16.578,1,0.005
NGC4010,7.44,16.588,1,0.005
NGC4010,8.18,16.592,1,0.005
NGC4010,9.00,16.600,1,0.005
NGC4010,9.90,16.608,1,0.005
NGC4010,10.89,16.616,1,0.005
NGC4010,11.98,16.634,1,0.006
NGC4010,13.18,16.648,1,0.007
NGC4010,14.49,16.643,1,0.008
NGC4010,15.94,16.633,1,0.009
NGC4010,17.54,16.672,1,0.009
NGC4010,19.29,16.731,1,0.009
NGC4010,21.22,16.798,1,0.009
NGC4010,23.34,16.869,1,0.012
NGC4010,25.68,16.984,1,0.014
NGC4010,28.25,17.071,1,0.017
NGC4010,31.07,17.160,1,0.019
NGC4010,34.18,17.323,1,0.022
NGC4010,37.60,17.501,1,0.023
NGC4010,41.35,17.672,1,0.022
NGC4010,45.49,17.807,1,0.023
NGC4010,50.04,17.990,1,0.019
NGC4010,55.04,18.200,1,0.015
NGC4010,60.55,18.369,1,0.020
NGC4010,66.60,18.541,1,0.025
NGC4010,73.26,18.732,1,0.039
NGC4010,80.59,18.913,1,0.051
NGC4010,88.65,19.272,1,0.037
NGC4010,97.51,19.679,1,0.025
NGC4010,107.26,20.050,1,0.025
NGC4010,117.99,20.460,1,0.032
NGC4010,129.79,20.885,1,0.046
NGC4010,142.77,21.322,1,0.060
NGC4010,157.04,21.669,1,0.094
NGC4010,172.75,22.141,1,0.116
NGC4010,190.02,22.513,1,0.151
NGC4010,209.03,22.915,0,0.209
NGC4010,229.93,23.236,0,0.269
NGC4010,252.92,23.514,0,0.332
NGC4010,278.21,23.758,0,0.399
NGC4010,306.04,23.876,0,0.439
NGC4010,336.64,23.958,0,0.466
NGC4010,370.30,24.267,0,0.582
NGC4010,407.33,24.173,0,0.544
NGC4010,448.07,24.397,0,0.637
NGC4010,492.87,24.672,0,0.770
UGC06399,0.65,18.615,1,0.002
UGC06399,0.72,18.645,1,0.003
UGC06399,0.79,18.652,1,0.003
UGC06399,0.87,18.660,1,0.002
UGC06399,0.96,18.668,1,0.003
UGC06399,1.05,18.678,1,0.003
UGC06399,1.16,18.690,1,0.003
UGC06399,1.27,18.704,1,0.003
UGC06399,1.40,18.720,1,0.003
UGC06399,1.54,18.740,1,0.003
UGC06399,1.69,18.759,1,0.003
UGC06399,1.86,18.778,1,0.003
UGC06399,2.05,18.789,1,0.004
UGC06399,2.25,18.797,1,0.004
UGC06399,2.48,18.808,1,0.004
UGC06399,2.73,18.809,1,0.004
UGC06399,3.00,18.813,1,0.004
UGC06399,3.30,18.837,1,0.003
UGC06399,3.63,18.843,1,0.004
UGC06399,3.99,18.857,1,0.004
UGC06399,4.39,18.864,1,0.004
UGC06399,4.83,18.875,1,0.004
UGC06399,5.31,18.883,1,0.005
UGC06399,5.85,18.892,1,0.006
UGC06399,6.43,18.906,1,0.006
UGC06399,7.07,18.944,1,0.005
UGC06399,7.78,18.981,1,0.005
UGC06399,8.56,19.030,1,0.005
UGC06399,9.42,19.070,1,0.005
UGC06399,10.36,19.128,1,0.005
UGC06399,11.39,19.181,1,0.005
